,day,location,total_trajectories,vehicles_filtered,bikes_filtered,persons_filtered
433,2024-10-25 00:00:01-05:00,2,37825,15585,141,861
434,2024-10-25 00:00:01-05:00,3,52999,17803,92,492
435,2024-10-25 00:00:01-05:00,4,19945,10317,76,366
436,2024-10-25 00:00:01-05:00,5,18997,8377,100,514
437,2024-10-25 00:00:01-05:00,6,50545,20053,252,2284
438,2024-10-25 00:00:01-05:00,7,12904,9636,103,612
439,2024-10-25 00:00:01-05:00,8,14726,11407,95,270
440,2024-10-26 00:00:01-05:00,1,21212,16104,121,846
441,2024-10-26 00:00:01-05:00,2,43169,16068,127,883
442,2024-10-26 00:00:01-05:00,3,45204,15091,71,393
